"","week","prop.ascertain","lim.non.HH","measure","intervention","ymin","lower","middle","upper","ymax"
"1",1,0,"0","weekly_cases","Quarantine + SD",2,3,4,6,8
"2",2,0,"0","weekly_cases","Quarantine + SD",2,5,7,11,18
"3",3,0,"0","weekly_cases","Quarantine + SD",1,4,6,12,20
"4",4,0,"0","weekly_cases","Quarantine + SD",0,1,3,7,20
"5",5,0,"0","weekly_cases","Quarantine + SD",0,0,1,6,22
"6",6,0,"0","weekly_cases","Quarantine + SD",0,0,0,4,17
"7",7,0,"0","weekly_cases","Quarantine + SD",0,0,0,0,14
"8",8,0,"0","weekly_cases","Quarantine + SD",0,0,0,0,11
"9",1,0.25,"0","weekly_cases","Quarantine + SD",1,3,4,5,7
"10",2,0.25,"0","weekly_cases","Quarantine + SD",4,5,8,11,17
"11",3,0.25,"0","weekly_cases","Quarantine + SD",0,4,6,10,20
"12",4,0.25,"0","weekly_cases","Quarantine + SD",0,1,3,6,21
"13",5,0.25,"0","weekly_cases","Quarantine + SD",0,0,0,3,13
"14",6,0.25,"0","weekly_cases","Quarantine + SD",0,0,0,1,12
"15",7,0.25,"0","weekly_cases","Quarantine + SD",0,0,0,0,10
"16",8,0.25,"0","weekly_cases","Quarantine + SD",0,0,0,0,3
"17",1,0.5,"0","weekly_cases","Quarantine + SD",2,3,4,6,8
"18",2,0.5,"0","weekly_cases","Quarantine + SD",3,6,8,10,16
"19",3,0.5,"0","weekly_cases","Quarantine + SD",0,3,6,10,17
"20",4,0.5,"0","weekly_cases","Quarantine + SD",0,1,3,6,18
"21",5,0.5,"0","weekly_cases","Quarantine + SD",0,0,1,3,15
"22",6,0.5,"0","weekly_cases","Quarantine + SD",0,0,0,0,11
"23",7,0.5,"0","weekly_cases","Quarantine + SD",0,0,0,0,6
"24",8,0.5,"0","weekly_cases","Quarantine + SD",0,0,0,0,2
"25",1,0.75,"0","weekly_cases","Quarantine + SD",2,3,4,5,8
"26",2,0.75,"0","weekly_cases","Quarantine + SD",2,5,8,10,14
"27",3,0.75,"0","weekly_cases","Quarantine + SD",0,3,6,11,17
"28",4,0.75,"0","weekly_cases","Quarantine + SD",0,0,3,8,17
"29",5,0.75,"0","weekly_cases","Quarantine + SD",0,0,0,4,16
"30",6,0.75,"0","weekly_cases","Quarantine + SD",0,0,0,1,17
"31",7,0.75,"0","weekly_cases","Quarantine + SD",0,0,0,0,15
"32",8,0.75,"0","weekly_cases","Quarantine + SD",0,0,0,0,3
"33",1,1,"0","weekly_cases","Quarantine + SD",2,3,4,6,8
"34",2,1,"0","weekly_cases","Quarantine + SD",2,6,8,10,14
"35",3,1,"0","weekly_cases","Quarantine + SD",0,3,6,10,19
"36",4,1,"0","weekly_cases","Quarantine + SD",0,0,2,5,17
"37",5,1,"0","weekly_cases","Quarantine + SD",0,0,0,2,21
"38",6,1,"0","weekly_cases","Quarantine + SD",0,0,0,0,7
"39",7,1,"0","weekly_cases","Quarantine + SD",0,0,0,0,4
"40",8,1,"0","weekly_cases","Quarantine + SD",0,0,0,0,0
"41",1,0,"1","weekly_cases","Quarantine + SD",2,3,5,6,8
"42",2,0,"1","weekly_cases","Quarantine + SD",2,6,10,15,23
"43",3,0,"1","weekly_cases","Quarantine + SD",1,8,13,21,33
"44",4,0,"1","weekly_cases","Quarantine + SD",0,9,16,26,49
"45",5,0,"1","weekly_cases","Quarantine + SD",0,10,20,33,57
"46",6,0,"1","weekly_cases","Quarantine + SD",0,12,26,45,72
"47",7,0,"1","weekly_cases","Quarantine + SD",0,14,32,62,101
"48",8,0,"1","weekly_cases","Quarantine + SD",0,9,32,52,94
"49",1,0.25,"1","weekly_cases","Quarantine + SD",2,3,4,5,7
"50",2,0.25,"1","weekly_cases","Quarantine + SD",2,5,8,12,17
"51",3,0.25,"1","weekly_cases","Quarantine + SD",1,5,9,16,25
"52",4,0.25,"1","weekly_cases","Quarantine + SD",0,5,11,20,29
"53",5,0.25,"1","weekly_cases","Quarantine + SD",0,6,12,24,45
"54",6,0.25,"1","weekly_cases","Quarantine + SD",0,5,14,31,63
"55",7,0.25,"1","weekly_cases","Quarantine + SD",0,4,15,38,71
"56",8,0.25,"1","weekly_cases","Quarantine + SD",0,2,13,30,63
"57",1,0.5,"1","weekly_cases","Quarantine + SD",2,3,4,5,7
"58",2,0.5,"1","weekly_cases","Quarantine + SD",3,6,8,13,21
"59",3,0.5,"1","weekly_cases","Quarantine + SD",3,7,12,18,29
"60",4,0.5,"1","weekly_cases","Quarantine + SD",0,5,12,19,39
"61",5,0.5,"1","weekly_cases","Quarantine + SD",0,4,11,21,46
"62",6,0.5,"1","weekly_cases","Quarantine + SD",0,4,12,24,67
"63",7,0.5,"1","weekly_cases","Quarantine + SD",0,2,10,30,80
"64",8,0.5,"1","weekly_cases","Quarantine + SD",0,1,10,29,81
"65",1,0.75,"1","weekly_cases","Quarantine + SD",2,3,4,5,7
"66",2,0.75,"1","weekly_cases","Quarantine + SD",3,5,8,12,19
"67",3,0.75,"1","weekly_cases","Quarantine + SD",2,6,10,15,30
"68",4,0.75,"1","weekly_cases","Quarantine + SD",1,4,10,19,36
"69",5,0.75,"1","weekly_cases","Quarantine + SD",0,4,10,20,40
"70",6,0.75,"1","weekly_cases","Quarantine + SD",0,3,8,20,47
"71",7,0.75,"1","weekly_cases","Quarantine + SD",0,0,8,19,63
"72",8,0.75,"1","weekly_cases","Quarantine + SD",0,0,5,18,48
"73",1,1,"1","weekly_cases","Quarantine + SD",2,3,4,5,8
"74",2,1,"1","weekly_cases","Quarantine + SD",2,5,8,11,18
"75",3,1,"1","weekly_cases","Quarantine + SD",0,4,10,18,29
"76",4,1,"1","weekly_cases","Quarantine + SD",0,1,6,15,35
"77",5,1,"1","weekly_cases","Quarantine + SD",0,0,5,18,46
"78",6,1,"1","weekly_cases","Quarantine + SD",0,0,1,17,53
"79",7,1,"1","weekly_cases","Quarantine + SD",0,0,0,15,56
"80",8,1,"1","weekly_cases","Quarantine + SD",0,0,0,7,39
"81",1,0,"5","weekly_cases","Quarantine + SD",2,3,4,5,10
"82",2,0,"5","weekly_cases","Quarantine + SD",2,6,10,16,32
"83",3,0,"5","weekly_cases","Quarantine + SD",0,8,22,36,76
"84",4,0,"5","weekly_cases","Quarantine + SD",0,11,44,74,159
"85",5,0,"5","weekly_cases","Quarantine + SD",0,21,70,157,321
"86",6,0,"5","weekly_cases","Quarantine + SD",0,40,126,312,666
"87",7,0,"5","weekly_cases","Quarantine + SD",0,64,242,619,1328
"88",8,0,"5","weekly_cases","Quarantine + SD",0,82,298,778,1725
"89",1,0.25,"5","weekly_cases","Quarantine + SD",2,3,4,6,9
"90",2,0.25,"5","weekly_cases","Quarantine + SD",3,7,12,16,26
"91",3,0.25,"5","weekly_cases","Quarantine + SD",1,10,20,34,63
"92",4,0.25,"5","weekly_cases","Quarantine + SD",3,17,37,67,142
"93",5,0.25,"5","weekly_cases","Quarantine + SD",3,27,63,127,297
"94",6,0.25,"5","weekly_cases","Quarantine + SD",3,42,100,240,572
"95",7,0.25,"5","weekly_cases","Quarantine + SD",0,87,186,427,1086
"96",8,0.25,"5","weekly_cases","Quarantine + SD",1,90,248,500,1190
"97",1,0.5,"5","weekly_cases","Quarantine + SD",2,3,5,6,8
"98",2,0.5,"5","weekly_cases","Quarantine + SD",3,7,12,17,30
"99",3,0.5,"5","weekly_cases","Quarantine + SD",1,10,20,40,58
"100",4,0.5,"5","weekly_cases","Quarantine + SD",0,17,29,67,100
"101",5,0.5,"5","weekly_cases","Quarantine + SD",0,26,52,108,201
"102",6,0.5,"5","weekly_cases","Quarantine + SD",0,32,84,181,388
"103",7,0.5,"5","weekly_cases","Quarantine + SD",0,61,137,282,802
"104",8,0.5,"5","weekly_cases","Quarantine + SD",0,62,168,328,942
"105",1,0.75,"5","weekly_cases","Quarantine + SD",2,3,4,5,8
"106",2,0.75,"5","weekly_cases","Quarantine + SD",3,6,9,13,25
"107",3,0.75,"5","weekly_cases","Quarantine + SD",1,6,15,24,55
"108",4,0.75,"5","weekly_cases","Quarantine + SD",0,3,18,40,97
"109",5,0.75,"5","weekly_cases","Quarantine + SD",0,4,24,66,191
"110",6,0.75,"5","weekly_cases","Quarantine + SD",0,1,41,94,351
"111",7,0.75,"5","weekly_cases","Quarantine + SD",0,0,51,136,617
"112",8,0.75,"5","weekly_cases","Quarantine + SD",0,0,48,150,746
"113",1,1,"5","weekly_cases","Quarantine + SD",2,4,4,5,7
"114",2,1,"5","weekly_cases","Quarantine + SD",2,6,9,14,24
"115",3,1,"5","weekly_cases","Quarantine + SD",0,4,12,24,58
"116",4,1,"5","weekly_cases","Quarantine + SD",0,1,14,38,102
"117",5,1,"5","weekly_cases","Quarantine + SD",0,0,10,62,193
"118",6,1,"5","weekly_cases","Quarantine + SD",0,0,8,89,303
"119",7,1,"5","weekly_cases","Quarantine + SD",0,0,4,94,392
"120",8,1,"5","weekly_cases","Quarantine + SD",0,0,2,91,452
"121",1,0,"10","weekly_cases","Quarantine + SD",2,3,5,6,9
"122",2,0,"10","weekly_cases","Quarantine + SD",3,6,12,17,30
"123",3,0,"10","weekly_cases","Quarantine + SD",3,11,26,44,80
"124",4,0,"10","weekly_cases","Quarantine + SD",4,20,54,95,187
"125",5,0,"10","weekly_cases","Quarantine + SD",8,46,115,212,405
"126",6,0,"10","weekly_cases","Quarantine + SD",14,100,250,488,954
"127",7,0,"10","weekly_cases","Quarantine + SD",34,208,539,1112,1954
"128",8,0,"10","weekly_cases","Quarantine + SD",30,266,697,1522,2538
"129",1,0.25,"10","weekly_cases","Quarantine + SD",2,3,4,5,8
"130",2,0.25,"10","weekly_cases","Quarantine + SD",2,5,9,15,30
"131",3,0.25,"10","weekly_cases","Quarantine + SD",1,8,23,36,87
"132",4,0.25,"10","weekly_cases","Quarantine + SD",0,11,40,82,193
"133",5,0.25,"10","weekly_cases","Quarantine + SD",0,18,90,168,434
"134",6,0.25,"10","weekly_cases","Quarantine + SD",0,39,171,365,981
"135",7,0.25,"10","weekly_cases","Quarantine + SD",0,84,307,777,2008
"136",8,0.25,"10","weekly_cases","Quarantine + SD",0,87,402,980,2510
"137",1,0.5,"10","weekly_cases","Quarantine + SD",2,3,5,6,8
"138",2,0.5,"10","weekly_cases","Quarantine + SD",3,6,10,18,30
"139",3,0.5,"10","weekly_cases","Quarantine + SD",1,10,20,34,73
"140",4,0.5,"10","weekly_cases","Quarantine + SD",0,11,30,65,110
"141",5,0.5,"10","weekly_cases","Quarantine + SD",0,16,44,115,227
"142",6,0.5,"10","weekly_cases","Quarantine + SD",0,20,91,208,449
"143",7,0.5,"10","weekly_cases","Quarantine + SD",0,31,150,412,859
"144",8,0.5,"10","weekly_cases","Quarantine + SD",0,42,182,452,1144
"145",1,0.75,"10","weekly_cases","Quarantine + SD",2,3,4,6,8
"146",2,0.75,"10","weekly_cases","Quarantine + SD",2,6,9,16,30
"147",3,0.75,"10","weekly_cases","Quarantine + SD",0,8,20,37,66
"148",4,0.75,"10","weekly_cases","Quarantine + SD",0,7,28,56,148
"149",5,0.75,"10","weekly_cases","Quarantine + SD",0,5,38,100,263
"150",6,0.75,"10","weekly_cases","Quarantine + SD",0,2,66,189,528
"151",7,0.75,"10","weekly_cases","Quarantine + SD",0,1,105,324,802
"152",8,0.75,"10","weekly_cases","Quarantine + SD",0,0,111,342,912
"153",1,1,"10","weekly_cases","Quarantine + SD",2,3,4,5,8
"154",2,1,"10","weekly_cases","Quarantine + SD",2,5,10,15,26
"155",3,1,"10","weekly_cases","Quarantine + SD",0,6,17,29,61
"156",4,1,"10","weekly_cases","Quarantine + SD",0,4,20,53,155
"157",5,1,"10","weekly_cases","Quarantine + SD",0,1,26,92,346
"158",6,1,"10","weekly_cases","Quarantine + SD",0,0,31,129,539
"159",7,1,"10","weekly_cases","Quarantine + SD",0,0,30,182,997
"160",8,1,"10","weekly_cases","Quarantine + SD",0,0,21,142,1240
"161",1,0,"Inf","weekly_cases","Quarantine + SD",2,3,4,6,10
"162",2,0,"Inf","weekly_cases","Quarantine + SD",2,6,11,20,36
"163",3,0,"Inf","weekly_cases","Quarantine + SD",1,9,22,46,104
"164",4,0,"Inf","weekly_cases","Quarantine + SD",0,11,54,105,242
"165",5,0,"Inf","weekly_cases","Quarantine + SD",1,31,129,243,585
"166",6,0,"Inf","weekly_cases","Quarantine + SD",0,69,264,573,1307
"167",7,0,"Inf","weekly_cases","Quarantine + SD",0,165,548,1171,2672
"168",8,0,"Inf","weekly_cases","Quarantine + SD",0,187,714,1640,3901
"169",1,0.25,"Inf","weekly_cases","Quarantine + SD",2,3,4,6,11
